,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
157,Where We Land,5,2014-06-23,3,0xaPq2EZ9pQ9vLuxy6MCHH,spotify:track:0xaPq2EZ9pQ9vLuxy6MCHH,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,0.275,41,183000
158,Cold Coffee,5,2014-06-23,4,4THoSHxiabL1rd59iVWu2T,spotify:track:4THoSHxiabL1rd59iVWu2T,0.453,0.544,0.529,0.0,0.131,-6.753,0.0256,92.936,0.403,54,254226
159,She,5,2014-06-23,5,3ICdPHubhqTJ4Lm9NEb2W3,spotify:track:3ICdPHubhqTJ4Lm9NEb2W3,0.811,0.573,0.344,0.0,0.13,-10.91,0.0361,157.783,0.377,46,244653
160,The A Team - Live at the Bedford,5,2014-06-23,1,3nwbntyppUfLEMorPB40HN,spotify:track:3nwbntyppUfLEMorPB40HN,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,0.496,33,322933
161,Homeless - Live at the Bedford,5,2014-06-23,2,0ewWskuCnqrTFvMUqtAQwF,spotify:track:0ewWskuCnqrTFvMUqtAQwF,0.62,0.601,0.879,0.0,0.464,-5.215,0.0945,99.377,0.713,30,225013
162,The City - Live at the Bedford,5,2014-06-23,3,4HQcJua3wHJLvBvc3gKJTr,spotify:track:4HQcJua3wHJLvBvc3gKJTr,0.545,0.602,0.8,0.0,0.656,-5.91,0.0734,109.921,0.81,30,307760
163,Fall - Live at the Bedford,5,2014-06-23,4,1lG7S133U7vKOXy0n8WeEL,spotify:track:1lG7S133U7vKOXy0n8WeEL,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,0.393,31,151173
164,Wake Me Up - Live at the Bedford,5,2014-06-23,5,2c3PILT3ocB6B47pNzi9qs,spotify:track:2c3PILT3ocB6B47pNzi9qs,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,0.361,32,300680
165,"You Need Me, I Don't Need You - Live at the Bedford",5,2014-06-23,6,2GGOQWJo7FGEQojc7baekK,spotify:track:2GGOQWJo7FGEQojc7baekK,0.48,0.506,0.911,0.0,0.696,-4.779,0.23,105.475,0.781,33,590333
166,Lately (feat. Devlin),5,2014-06-23,1,5cth8vxCckeYgE10nX58re,spotify:track:5cth8vxCckeYgE10nX58re,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,0.329,31,271333
167,You (feat. Wiley),5,2014-06-23,2,6dSgNLxLDgTaPQlB15yOOK,spotify:track:6dSgNLxLDgTaPQlB15yOOK,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0.189,31,201586
168,Family (feat. P Money),5,2014-06-23,3,77m6ySUV5ZpOdaIsygDYMZ,spotify:track:77m6ySUV5ZpOdaIsygDYMZ,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,0.297,30,254906
169,Radio (feat. JME),5,2014-06-23,4,3MUKlVjVJBvPf4flrDq8KB,spotify:track:3MUKlVjVJBvPf4flrDq8KB,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,0.759,30,222653
170,Little Lady (feat. Mikill Pane),5,2014-06-23,5,7bXTXa2zmMuRZPCBEWcjHw,spotify:track:7bXTXa2zmMuRZPCBEWcjHw,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,0.437,32,328653
171,Drown Me Out (feat. Ghetts) - + Ghetts,5,2014-06-23,6,0dNt7lZks5TVxiGaCIY1yZ,spotify:track:0dNt7lZks5TVxiGaCIY1yZ,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,0.426,29,261440
172,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",5,2014-06-23,7,4SVST4FR6Gj74UJCzCiOSX,spotify:track:4SVST4FR6Gj74UJCzCiOSX,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,0.429,30,243000
173,Goodbye to You (feat. Dot Rotten),5,2014-06-23,8,1O5u4AShfndSLCnVqlV0h2,spotify:track:1O5u4AShfndSLCnVqlV0h2,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,0.275,30,330200
174,One,x (Deluxe Edition),2014-06-21,1,5TvFfDlVoUWZvfqrhTJzD7,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,62,252760
175,I'm a Mess,x (Deluxe Edition),2014-06-21,2,0xCA70t1ZA4fa9UOE0lIJm,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,64,244573
176,Sing,x (Deluxe Edition),2014-06-21,3,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,70,235382
177,Don't,x (Deluxe Edition),2014-06-21,4,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,73,219840
178,Nina,x (Deluxe Edition),2014-06-21,5,3GKSfF6c3Rv3a1knSjxnXa,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,57,225533
179,Photograph,x (Deluxe Edition),2014-06-21,6,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,86,258986
180,Bloodstream,x (Deluxe Edition),2014-06-21,7,5v4sZRuvWDcisoOk1PFv6T,spotify:track:5v4sZRuvWDcisoOk1PFv6T,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,66,300253
181,Tenerife Sea,x (Deluxe Edition),2014-06-21,8,1HbcclMpw0q2WDWpdGCKdS,spotify:track:1HbcclMpw0q2WDWpdGCKdS,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,69,241346
182,Runaway,x (Deluxe Edition),2014-06-21,9,2VmA7bm5ECiYZfw7x4Nzku,spotify:track:2VmA7bm5ECiYZfw7x4Nzku,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,58,205133
183,The Man,x (Deluxe Edition),2014-06-21,10,1gHF0I223J5pv06SuBcmkz,spotify:track:1gHF0I223J5pv06SuBcmkz,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,53,250426
184,Thinking out Loud,x (Deluxe Edition),2014-06-21,11,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,85,281560
185,Afire Love,x (Deluxe Edition),2014-06-21,12,12B0Twa9kRz45Xw2PgXHJm,spotify:track:12B0Twa9kRz45Xw2PgXHJm,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,59,314280
186,Take It Back,x (Deluxe Edition),2014-06-21,13,2dmOWlEHrP266Qgz6wnUrd,spotify:track:2dmOWlEHrP266Qgz6wnUrd,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,53,208400
187,Shirtsleeves,x (Deluxe Edition),2014-06-21,14,7awwmuGslmuyhnlpFipDqk,spotify:track:7awwmuGslmuyhnlpFipDqk,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,53,190226
188,Even My Dad Does Sometimes,x (Deluxe Edition),2014-06-21,15,0N5zjRnf8AreOm95iSBXF4,spotify:track:0N5zjRnf8AreOm95iSBXF4,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,54,228533
189,I See Fire,x (Deluxe Edition),2014-06-21,16,5pY3ovFxbvAg7reGZjJQSp,spotify:track:5pY3ovFxbvAg7reGZjJQSp,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,12,299146
190,One,x (Wembley Edition),2013,1,0A2J5TumCpT4aJVvQHNEQW,spotify:track:0A2J5TumCpT4aJVvQHNEQW,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,44,252760
191,I'm a Mess,x (Wembley Edition),2013,2,3KiktyOxQd2Z0bmnabgRq2,spotify:track:3KiktyOxQd2Z0bmnabgRq2,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,42,244573
192,Sing,x (Wembley Edition),2013,3,6u0oHknFYrnUd42A6rvFly,spotify:track:6u0oHknFYrnUd42A6rvFly,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,49,235382
193,Don't,x (Wembley Edition),2013,4,6gTJaPuj8DT8RjuDJyBgzP,spotify:track:6gTJaPuj8DT8RjuDJyBgzP,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,58,219840
194,Nina,x (Wembley Edition),2013,5,3THTZMkVV2onr7xM5yb6WZ,spotify:track:3THTZMkVV2onr7xM5yb6WZ,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,33,225533
195,Photograph,x (Wembley Edition),2013,6,6fxVffaTuwjgEk5h9QyRjy,spotify:track:6fxVffaTuwjgEk5h9QyRjy,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,68,258986
196,Bloodstream,x (Wembley Edition),2013,7,5mxTOMM0NiRud8VdBxbA2o,spotify:track:5mxTOMM0NiRud8VdBxbA2o,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,42,300253
197,Tenerife Sea,x (Wembley Edition),2013,8,6vSwxzO2Qf4BinHSXRwZJe,spotify:track:6vSwxzO2Qf4BinHSXRwZJe,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,57,241346
198,Runaway,x (Wembley Edition),2013,9,2CW1geAxlM04INRmcoytvW,spotify:track:2CW1geAxlM04INRmcoytvW,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,36,205133
199,The Man,x (Wembley Edition),2013,10,124Ym5jD2no2GAjZiEbw94,spotify:track:124Ym5jD2no2GAjZiEbw94,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,0.619,30,250426
200,Thinking out Loud,x (Wembley Edition),2013,11,1Slwb6dOYkBlWal1PGtnNg,spotify:track:1Slwb6dOYkBlWal1PGtnNg,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,67,281560
201,Afire Love,x (Wembley Edition),2013,12,6Tb6jpTsEMuBnxYo2HuSiK,spotify:track:6Tb6jpTsEMuBnxYo2HuSiK,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,0.333,37,314280
202,Take It Back,x (Wembley Edition),2013,13,3zvc53juLgo3LibcwGBDqn,spotify:track:3zvc53juLgo3LibcwGBDqn,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,0.904,31,208400
203,Shirtsleeves,x (Wembley Edition),2013,14,3hRWv9DGBOc1ge8nMolCHp,spotify:track:3hRWv9DGBOc1ge8nMolCHp,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,0.752,31,190226
204,Even My Dad Does Sometimes,x (Wembley Edition),2013,15,7Clb8su2UxUJ4CQUtDW2UZ,spotify:track:7Clb8su2UxUJ4CQUtDW2UZ,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,0.295,32,228533
205,I See Fire,x (Wembley Edition),2013,16,1d1sMeH6jxPPxSFO7T0nDq,spotify:track:1d1sMeH6jxPPxSFO7T0nDq,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,0,299146
206,All of the Stars,x (Wembley Edition),2013,17,3Th56VIq2sEaEmPPETu7p5,spotify:track:3Th56VIq2sEaEmPPETu7p5,0.00886,0.54,0.557,0.000182,0.307,-6.097,0.0259,75.035,0.287,54,237146
207,English Rose,x (Wembley Edition),2013,18,2tLqh0Y49XoaM8fYz1VFR5,spotify:track:2tLqh0Y49XoaM8fYz1VFR5,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,0.184,36,184173
208,Touch and Go,x (Wembley Edition),2013,19,763p5nkQytkOE7xmsFyu8y,spotify:track:763p5nkQytkOE7xmsFyu8y,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,0.733,45,240986
209,New York,x (Wembley Edition),2013,20,0NJDrEZdTbVPMKC0Zbglgn,spotify:track:0NJDrEZdTbVPMKC0Zbglgn,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,0.474,36,235960
210,Make It Rain,x (Wembley Edition),2013,21,5puU24G3lHVsUXPAWW2ZpV,spotify:track:5puU24G3lHVsUXPAWW2ZpV,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,0.327,49,404480
211,Parting Glass - Live at Wembley Stadium,x (Wembley Edition),2013,22,74sKqdbIzz8Q5k1uFGQIW7,spotify:track:74sKqdbIzz8Q5k1uFGQIW7,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,0.541,34,195967
212,Small Bump - Live at Wembley Stadium,x (Wembley Edition),2013,23,4B1EYMTYNUfwRoD9MARPgT,spotify:track:4B1EYMTYNUfwRoD9MARPgT,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,0.237,26,302992
213,Lay It All on Me (feat. Ed Sheeran),x (Wembley Edition),2013,24,0vbbhcA6okLzvsy6WSTlLg,spotify:track:0vbbhcA6okLzvsy6WSTlLg,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,0.483,39,242440
214,Let It Out,Loose Change,2011-12-09,1,69RasNFxqhiyy75JDHsrIS,spotify:track:69RasNFxqhiyy75JDHsrIS,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,0.619,43,231546
215,Homeless,Loose Change,2011-12-09,2,0jtTK6XjYj2L3Ge6jyK2sr,spotify:track:0jtTK6XjYj2L3Ge6jyK2sr,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,0.875,38,210746
216,Little Bird,Loose Change,2011-12-09,3,7sGK98k8lv3hzRznoN909t,spotify:track:7sGK98k8lv3hzRznoN909t,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,0.278,39,226066
217,Sofa,Loose Change,2011-12-09,4,5VAd82Nigp6Qdbl2zln1cl,spotify:track:5VAd82Nigp6Qdbl2zln1cl,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,0.52,38,199133
218,One Night,Loose Change,2011-12-09,5,0CNrpbpJ9HsFffF9hqWIIe,spotify:track:0CNrpbpJ9HsFffF9hqWIIe,0.379,0.781,0.836,0.0,0.289,-5.496,0.0658,94.989,0.636,43,206440
219,Firefly,Loose Change,2011-12-09,6,4fZscNFYKoPIDHrgXxdacR,spotify:track:4fZscNFYKoPIDHrgXxdacR,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,0.36,46,254999
220,The City - Live at Sticky Studios; Loose Change EP,Loose Change,2011-12-09,7,1Fj5Hfda761tgxKbJUlFxN,spotify:track:1Fj5Hfda761tgxKbJUlFxN,0.507,0.712,0.569,0.0,0.412,-6.032,0.204,105.032,0.837,33,306320
221,Firefly - Bravado Dubstep Remix,Loose Change,2011-12-09,8,1qjnGMSchVVfePsMV0UZ9b,spotify:track:1qjnGMSchVVfePsMV0UZ9b,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,0.49,30,269186
222,The A Team - Live at the Bedford,Live at the Bedford,2011-12-09,1,6JUGrUnAms0o3uGVIhkAyH,spotify:track:6JUGrUnAms0o3uGVIhkAyH,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,0.496,32,322933
223,Homeless - Live at the Bedford,Live at the Bedford,2011-12-09,2,0T0wYEzpL46dCaTL1DLCyD,spotify:track:0T0wYEzpL46dCaTL1DLCyD,0.62,0.601,0.879,0.0,0.464,-5.215,0.0945,99.377,0.713,29,225013
224,The City - Live at the Bedford,Live at the Bedford,2011-12-09,3,7JE96R5PJCWQ9Cm3JQXYuH,spotify:track:7JE96R5PJCWQ9Cm3JQXYuH,0.545,0.602,0.8,0.0,0.656,-5.91,0.0734,109.921,0.81,29,307760
225,Fall - Live at the Bedford,Live at the Bedford,2011-12-09,4,1YM4HlWW3vvrnWdf9N7Xi2,spotify:track:1YM4HlWW3vvrnWdf9N7Xi2,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,0.393,29,151173
226,Wake Me Up - Live at the Bedford,Live at the Bedford,2011-12-09,5,7GtrkWkk5MxDaIlGOr7UU9,spotify:track:7GtrkWkk5MxDaIlGOr7UU9,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,0.361,34,300680
227,"You Need Me, I Don't Need You - Live at the Bedford",Live at the Bedford,2011-12-09,6,5rJDpFuffh8UFEKqvzCAZP,spotify:track:5rJDpFuffh8UFEKqvzCAZP,0.48,0.506,0.911,0.0,0.696,-4.779,0.23,105.475,0.781,33,590333
228,Lately (feat. Devlin),No.5 Collaborations Project,2011-09-09,1,1iyJwocwqUMwLgmu9O5Y13,spotify:track:1iyJwocwqUMwLgmu9O5Y13,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,0.329,37,271333
229,You (feat. Wiley),No.5 Collaborations Project,2011-09-09,2,7h7KBBdYIzrxOsLfR9aUO7,spotify:track:7h7KBBdYIzrxOsLfR9aUO7,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0.189,35,201586
230,Family (feat. P Money),No.5 Collaborations Project,2011-09-09,3,79d2OA4Sj4nfw0vk8EV82D,spotify:track:79d2OA4Sj4nfw0vk8EV82D,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,0.297,35,254906
231,Radio (feat. JME),No.5 Collaborations Project,2011-09-09,4,5KB7EYQuHd0S5WKVWpagYu,spotify:track:5KB7EYQuHd0S5WKVWpagYu,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,0.759,36,222653
232,Little Lady (feat. Mikill Pane),No.5 Collaborations Project,2011-09-09,5,5rKb6l02IplvF9I0sJI9Lj,spotify:track:5rKb6l02IplvF9I0sJI9Lj,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,0.437,41,328653
233,Drown Me Out (feat. Ghetts) - + Ghetts,No.5 Collaborations Project,2011-09-09,6,0UD8qgp0Fmgh79K3qeTHQh,spotify:track:0UD8qgp0Fmgh79K3qeTHQh,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,0.426,32,261440
234,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",No.5 Collaborations Project,2011-09-09,7,4MKPqVv3FqKCZTcKHfR125,spotify:track:4MKPqVv3FqKCZTcKHfR125,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,0.429,32,243000
235,Goodbye to You (feat. Dot Rotten),No.5 Collaborations Project,2011-09-09,8,1SdyQYIFM05qkexCFKZxW1,spotify:track:1SdyQYIFM05qkexCFKZxW1,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,0.275,32,330200
236,The A Team,+,2011-09-09,1,1XpYodsD36XN7ygcdF7mJJ,spotify:track:1XpYodsD36XN7ygcdF7mJJ,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,0.407,69,258373
237,Drunk,+,2011-09-09,2,4RnCPWlBsY7oUDdyruod7Y,spotify:track:4RnCPWlBsY7oUDdyruod7Y,0.419,0.733,0.652,2.37e-06,0.521,-9.101,0.0696,99.998,0.459,65,200093
238,U.N.I.,+,2011-09-09,3,5Ukzlujip1Slqka5OY82YS,spotify:track:5Ukzlujip1Slqka5OY82YS,0.323,0.422,0.405,0.0,0.15,-11.126,0.101,74.13,0.578,54,228600
239,Grade 8,+,2011-09-09,4,0obzwoGjXdORtAwYWZ9s53,spotify:track:0obzwoGjXdORtAwYWZ9s53,0.0446,0.74,0.807,4.02e-05,0.0538,-9.976,0.0363,101.042,0.781,52,179880
240,Wake Me Up,+,2011-09-09,5,0ygAYQQy7bfDN6gH640bbl,spotify:track:0ygAYQQy7bfDN6gH640bbl,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,86.891,0.336,54,229613
241,Small Bump,+,2011-09-09,6,4z1O25cq9g2kuJemmUxc21,spotify:track:4z1O25cq9g2kuJemmUxc21,0.689,0.81,0.436,0.000151,0.11,-12.683,0.0717,119.973,0.446,63,259413
242,This,+,2011-09-09,7,0pJfsPQesJyCnR5XWZyvj9,spotify:track:0pJfsPQesJyCnR5XWZyvj9,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,152.139,0.502,53,195840
243,The City,+,2011-09-09,8,4ucfQOYOe1Jz5KqCfpGobp,spotify:track:4ucfQOYOe1Jz5KqCfpGobp,0.0415,0.74,0.505,6.82e-05,0.0707,-10.338,0.0674,97.994,0.646,50,234333
244,Lego House,+,2011-09-09,9,5ubHAQtKuFfiG4FXfLP804,spotify:track:5ubHAQtKuFfiG4FXfLP804,0.562,0.592,0.637,0.0,0.13,-8.48,0.0992,159.701,0.565,75,185093
245,"You Need Me, I Don't Need You",+,2011-09-09,10,5KL4iZkCTZyXl7KnHgfVDj,spotify:track:5KL4iZkCTZyXl7KnHgfVDj,0.162,0.749,0.837,0.0,0.525,-8.837,0.0512,103.483,0.927,63,220413
246,Kiss Me,+,2011-09-09,11,0Tel1fmuCxEFV6wBLXsEdk,spotify:track:0Tel1fmuCxEFV6wBLXsEdk,0.64,0.589,0.227,0.00469,0.0248,-16.67,0.0498,74.993,0.182,70,280853
247,Give Me Love,+,2011-09-09,12,0SuG9kyzGRpDqrCWtgD6Lq,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,0.11,73,526386
248,Autumn Leaves - Deluxe Edition,+,2011-09-09,13,7iBSkXB0pTvZasOLf0Qxk9,spotify:track:7iBSkXB0pTvZasOLf0Qxk9,0.892,0.555,0.257,1.42e-06,0.124,-12.637,0.0299,89.013,0.431,62,200755
249,Little Bird - Deluxe Edition,+,2011-09-09,14,4bcgRbGeq4IejesjsiHyTH,spotify:track:4bcgRbGeq4IejesjsiHyTH,0.565,0.843,0.425,0.0,0.102,-8.676,0.0352,104.02,0.284,52,224528
250,Gold Rush - Deluxe Edition,+,2011-09-09,15,4mT5mVFaU7trA3UdbGqfB9,spotify:track:4mT5mVFaU7trA3UdbGqfB9,0.729,0.74,0.248,0.0,0.141,-12.659,0.109,83.786,0.889,51,243162
251,Sunburn - Deluxe Edition,+,2011-09-09,16,3YPiRYIUFlcQ0aaLGmeswS,spotify:track:3YPiRYIUFlcQ0aaLGmeswS,0.865,0.464,0.098,0.0,0.101,-12.119,0.0376,78.864,0.234,49,275882
